GEO_ID,NAME,STATE
0400000US28,Mississippi,MS
0400000US29,Missouri,MO
0400000US30,Montana,MT
0400000US31,Nebraska,NE
0400000US32,Nevada,NV
0400000US33,New Hampshire,NH
0400000US34,New Jersey,NJ
0400000US35,New Mexico,NM
0400000US36,New York,NY
0400000US37,North Carolina,NC
0400000US38,North Dakota,ND
0400000US39,Ohio,OH
0400000US40,Oklahoma,OK
0400000US42,Pennsylvania,PA
0400000US44,Rhode Island,RI
0400000US45,South Carolina,SC
0400000US46,South Dakota,SD
0400000US47,Tennessee,TN
0400000US48,Texas,TX
0400000US50,Vermont,VT
0400000US49,Utah,UT
0400000US51,Virginia,VA
0400000US53,Washington,WA
0400000US54,West Virginia,WV
0400000US55,Wisconsin,WI
0400000US56,Wyoming,WY
0400000US01,Alabama,AL
0400000US02,Alaska,AK
0400000US04,Arizona,AZ
0400000US05,Arkansas,AR
0400000US06,California,CA
0400000US08,Colorado,CO
0400000US10,Delaware,DE
0400000US09,Connecticut,CT
0400000US12,Florida,FL
0400000US13,Georgia,GA
0400000US16,Idaho,ID
0400000US15,Hawaii,HI
0400000US17,Illinois,IL
0400000US18,Indiana,IN
0400000US19,Iowa,IA
0400000US20,Kansas,KS
0400000US21,Kentucky,KY
0400000US22,Louisiana,LA
0400000US23,Maine,ME
0400000US24,Maryland,MD
0400000US25,Massachusetts,MA
0400000US26,Michigan,MI
0400000US27,Minnesota,MN
0400000US41,Oregon,OR
